Variables;MILP Feasible;result
;740;740
Y0;1;1
Y1;1;1
Y2;1;1
Y3;1;1
Y4;1;1
Y5;1;1
Y6;1;1
Y7;1;1
Y8;1;1
Y9;1;1
Y10;1;1
Y11;1;1
Y12;1;1
Y13;1;1
Y14;1;1
Y15;1;1
Y16;1;1
Y17;1;1
Y18;1;1
Y19;1;1
Y20;1;1
Y21;1;1
Y22;1;1
Y23;1;1
Y24;1;1
Y25;1;1
Y26;1;1
Y27;1;1
Y28;1;1
Y29;1;1
Y30;1;1
Y31;1;1
Y32;1;1
Y33;1;1
Y34;1;1
Y35;1;1
Y36;1;1
Y37;1;1
Y38;1;1
Y39;1;1
Y40;1;1
Y41;1;1
Y42;1;1
Y43;1;1
Y44;1;1
Y45;1;1
Y46;1;1
Y47;1;1
Y48;1;1
Y49;1;1
Y50;1;1
Y51;1;1
Y52;1;1
Y53;1;1
Y54;1;1
Y55;1;1
Y56;1;1
Y57;1;1
Y58;1;1
Y59;1;1
Y60;1;1
Y61;1;1
Y62;1;1
Y63;1;1
Y64;1;1
Y65;1;1
Y66;1;1
Y67;1;1
Y68;1;1
Y69;1;1
Y70;1;1
Y71;1;1
Y72;1;1
Y73;1;1
Y74;1;1
Y75;1;1
Y76;1;1
Y77;1;1
Y78;1;1
Y79;1;1
Y80;1;1
Y81;1;1
Y82;1;1
Y83;1;1
Y84;1;1
Y85;1;1
Y86;1;1
Y87;1;1
Y88;1;1
Y89;1;1
Y90;1;1
Y91;1;1
Y92;1;1
Y93;1;1
Y94;1;1
Y95;1;1
Y96;1;1
Y97;1;1
Y98;1;1
Y99;1;1
Y100;1;1
Y101;1;1
Y102;1;1
Y103;1;1
Y104;1;1
Y105;1;1
Y106;1;1
Y107;1;1
Y108;1;1
Y109;1;1
Y110;1;1
Y111;1;1
Y112;1;1
Y113;1;1
Y114;1;1
Y115;1;1
Y116;1;1
Y117;1;1
Y118;1;1
Y119;1;1
Y120;1;1
Y121;1;1
Y122;1;1
Y123;1;1
Y124;1;1
Y125;1;1
Y126;1;1
Y127;1;1
Y128;1;1
Y129;1;1
Y130;1;1
Y131;1;1
Y132;1;1
Y133;1;1
Y134;1;1
Y135;1;1
Y136;1;1
Y137;1;1
Y138;1;1
Y139;1;1
Y140;1;1
Y141;1;1
Y142;1;1
Y143;1;1
Y144;1;1
Y145;1;1
Y146;1;1
Y147;1;1
Y148;1;1
Y149;1;1
Y150;1;1
Y151;1;1
Y152;1;1
Y153;1;1
Y154;1;1
Y155;1;1
Y156;1;1
Y157;1;1
Y158;1;1
Y159;1;1
Y160;1;1
Y161;1;1
Y162;1;1
Y163;1;1
Y164;1;1
Y165;1;1
Y166;1;1
Y167;1;1
Y168;1;1
Y169;1;1
Y170;1;1
Y171;1;1
Y172;1;1
Y173;1;1
Y174;1;1
Y175;1;1
Y176;1;1
Y177;1;1
Y178;1;1
Y179;1;1
X_0_0_0_0;0;0
X_1_0_0_0;0;0
X_2_0_0_0;0;0
X_3_0_0_0;0;0
X_4_0_0_0;0;0
X_5_0_0_0;0;0
X_6_0_0_0;0;0
X_7_0_0_0;0;0
X_8_0_0_0;0;0
X_9_0_0_0;0;0
X_10_0_0_0;0;0
X_11_0_0_0;0;0
X_12_0_0_0;0;0
X_13_0_0_0;0;0
X_14_0_0_0;0;0
X_15_0_0_0;0;0
X_16_0_0_0;0;0
X_17_0_0_0;1;1
